,get angry easily (1983),get angry easily (1988),get angry easily (1992),get angry easily (2000),jealousy (1983),jealousy (1988),jealousy (1992),jealousy (2000),not home enough (1983),not home enough (1988),not home enough (1992),not home enough (2000),not talking (1983),not talking (1988),not talking (1992),not talking (2000),sex with others (1983),sex with others (1988),sex with others (1992),sex with others (2000),marital_instability_1983_(1983),marital_instability_in_1988_(1988),marital_stability_1992_(1992),marital_instability_2000_(2000),income_combined_2000,income_combined_1992,income_combined_1988,income_combined_1983
539,NO,NO,NO,"YES, SELF",NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,"YES, SELF",NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$40,000 - \$49,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
540,YES SELF,"YES,SELF","YES,SELF","YES, SELF",NO,NO,NO,NO,NO,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,"YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,0.0,0.3000000119209289,0.4799999892711639,0.699999988079071,"\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
542,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,0.0,0.949999988079071,0.3000000119209289,0.0,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
548,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.0,0.949999988079071,"\$80,000 - \$89,999","\$30,000 - \$39,999","\$25,000 - \$29,999","\$60,000 - \$69,999"
554,NO,"YES,SPOUSE",NO,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES, SPOUSE",0.0,1.0399999618530271,0.949999988079071,0.6000000238418579,"Under \$20,000","\$60,000 - \$69,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
555,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,YES SPOUSE,NO,"YES,SPOUSE",NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,0.0,0.6000000238418579,0.4799999892711639,0.0,"\$100,000 or More","\$70,000 - \$79,999","\$40,000 - \$49,999","Under \$20,000"
556,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$80,000 - \$89,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
557,YES SPOUSE,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.4799999892711639,0.4799999892711639,"\$60,000 - \$69,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
563,NO,NO,NO,NO,YES SELF,"YES,SELF",NO,BOTH,NO,NO,NO,"YES, SPOUSE",NO,"YES,SELF",BOTH,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$30,000 - \$39,999","Under \$20,000","\$25,000 - \$29,999"
564,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$40,000 - \$49,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
569,NO,NO,NO,NO,NO,"YES,SPOUSE","YES,SPOUSE",NO,YES SELF,NO,NO,NO,YES SELF,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,0.4799999892711639,0.0,0.0,0.3000000119209289,"\$90,000 - \$99,999","\$50,000 - \$59,999","\$60,000 - \$69,999","\$20,000 - \$29,999"
573,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.8500000238418579,"\$100,000 or More","\$60,000 - \$69,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
576,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.3000000119209289,"\$50,000 - \$59,999","\$25,000 - \$29,999","\$20,000 - \$29,999","\$40,000 - \$49,999"
578,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,"YES,SPOUSE",NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$50,000 - \$59,999"
580,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$80,000 - \$89,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
583,NO,NO,NO,NO,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.3000000119209289,0.7799999713897705,"\$80,000 - \$89,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
584,NO,NO,NO,"YES, SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,"YES, SPOUSE",NO,NO,NO,NO,0.0,0.6000000238418579,0.3000000119209289,0.0,"\$30,000 - \$39,999","\$20,000 - \$29,999","Under \$20,000","\$25,000 - \$29,999"
586,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","\$20,000 - \$29,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
587,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$80,000 - \$89,999","\$50,000 - \$59,999","\$60,000 - \$69,999"
588,NO,NO,NO,NO,YES SPOUSE,BOTH,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.0,"Under \$20,000","Under \$20,000","\$20,000 - \$29,999","\$20,000 - \$29,999"
589,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
593,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,0.8500000238418579,0.0,0.0,0.0,"\$60,000 - \$69,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$40,000 - \$49,999"
596,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.4799999892711639,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
599,NO,NO,"YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,YES SELF,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.6000000238418579,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
600,NO,NO,NO,NO,NO,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,YES SELF,NO,"YES,SELF",NO,NO,NO,NO,NO,0.4799999892711639,0.8500000238418579,0.949999988079071,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
602,NO,"YES,SELF",BOTH,"YES, SELF",NO,NO,NO,NO,NO,"YES,SELF","YES,SELF",NO,BOTH,NO,BOTH,NO,NO,NO,NO,NO,0.0,0.0,0.3000000119209289,0.8999999761581421,"\$60,000 - \$69,999","\$25,000 - \$29,999","\$25,000 - \$29,999","\$25,000 - \$29,999"
604,YES SELF,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,BOTH,BOTH,BOTH,NO,NO,NO,NO,0.6000000238418579,0.6000000238418579,0.3000000119209289,0.4799999892711639,"\$60,000 - \$69,999","\$30,000 - \$39,999","\$25,000 - \$29,999","\$25,000 - \$29,999"
605,NO,"YES,SPOUSE","YES,SPOUSE",NO,NO,"YES,SPOUSE",NO,NO,NO,"YES,SELF",NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,0.4799999892711639,0.3000000119209289,0.0,0.0,"\$50,000 - \$59,999","\$50,000 - \$59,999","\$50,000 - \$59,999","\$25,000 - \$29,999"
606,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","Under \$20,000","\$40,000 - \$49,999","Under \$20,000"
608,YES SPOUSE,NO,BOTH,NO,NO,NO,"YES,SELF",NO,YES SPOUSE,"YES,SELF","YES,SELF",NO,YES SELF,NO,"YES,SELF",NO,NO,NO,NO,NO,0.7799999713897705,0.0,1.2300000190734863,0.0,"\$50,000 - \$59,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
613,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
618,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$25,000 - \$29,999","\$60,000 - \$69,999","Under \$20,000"
621,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,0.6000000238418579,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
625,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.3000000119209289,0.0,"\$70,000 - \$79,999","\$30,000 - \$39,999","\$30,000 - \$39,999","Under \$20,000"
629,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$100,000 or More","\$70,000 - \$79,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
630,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$60,000 - \$69,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
634,YES SELF,NO,NO,NO,YES SELF,"YES,SELF",NO,NO,NO,NO,NO,NO,YES SELF,BOTH,NO,NO,NO,NO,NO,,0.3000000119209289,0.3000000119209289,0.0,0.3000000119209289,"\$60,000 - \$69,999","\$80,000 - \$89,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
637,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
639,NO,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,0.0,0.699999988079071,0.8500000238418579,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
641,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
644,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
646,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$50,000 - \$59,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
647,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,0.0,0.0,0.4799999892711639,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
648,NO,NO,BOTH,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$30,000 - \$39,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
654,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,"YES,SELF","YES,SPOUSE",NO,YES SPOUSE,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,0.6000000238418579,0.699999988079071,0.949999988079071,0.3000000119209289,"\$25,000 - \$29,999","\$50,000 - \$59,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
655,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$100,000 or More","\$50,000 - \$59,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
656,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES, SELF",NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,0.4799999892711639,0.6000000238418579,0.6000000238418579,0.3000000119209289,"\$90,000 - \$99,999","\$70,000 - \$79,999","\$60,000 - \$69,999","\$30,000 - \$39,999"
663,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE",BOTH,NO,"YES,SPOUSE",NO,NO,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",YES SELF,BOTH,"YES,SELF","YES, SELF",BOTH,BOTH,BOTH,BOTH,0.699999988079071,1.2799999713897705,1.0800000429153442,1.2599999904632568,"\$90,000 - \$99,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
666,YES SPOUSE,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.8999999761581421,0.0,0.699999988079071,0.4799999892711639,"\$60,000 - \$69,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
667,NO,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.3000000119209289,0.3000000119209289,0.0,"\$100,000 or More","\$50,000 - \$59,999","\$40,000 - \$49,999","\$20,000 - \$29,999"
669,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
673,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.3000000119209289,0.0,"\$90,000 - \$99,999","\$60,000 - \$69,999","\$60,000 - \$69,999","\$30,000 - \$39,999"
674,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$30,000 - \$39,999","\$20,000 - \$29,999","\$20,000 - \$29,999"
676,YES SELF,BOTH,"YES,SELF","YES, SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF","YES,SELF","YES, SELF",NO,NO,NO,NO,0.0,0.3000000119209289,0.8500000238418579,0.0,"\$40,000 - \$49,999","\$20,000 - \$29,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
679,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$70,000 - \$79,999","\$60,000 - \$69,999","\$30,000 - \$39,999"
685,YES SPOUSE,"YES,SPOUSE",NO,NO,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1.0399999618530271,0.3000000119209289,0.3000000119209289,1.0,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
686,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"Under \$20,000","\$20,000 - \$29,999","\$20,000 - \$29,999","\$25,000 - \$29,999"
690,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$20,000 - \$29,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
692,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$60,000 - \$69,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
693,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,BOTH,NO,"YES,SPOUSE",NO,NO,,"YES,SPOUSE",,1.2300000190734863,0.949999988079071,1.1799999475479126,1.1100000143051147,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
695,YES SELF,"YES,SELF","YES,SELF","YES, SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,0.8999999761581421,0.699999988079071,0.6000000238418579,1.0399999618530271,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
696,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,"YES,SELF",NO,"YES, SELF",NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$60,000 - \$69,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$40,000 - \$49,999"
702,YES SELF,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$30,000 - \$39,999","\$40,000 - \$49,999","\$40,000 - \$49,999"
705,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$70,000 - \$79,999","\$60,000 - \$69,999","Under \$20,000"
709,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$20,000 - \$29,999"
710,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$80,000 - \$89,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
713,NO,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,YES SPOUSE,"YES,SPOUSE",NO,NO,NO,"YES,SPOUSE","YES,SPOUSE","YES, SELF",NO,NO,NO,NO,0.6000000238418579,0.4799999892711639,0.0,0.0,"\$80,000 - \$89,999","\$25,000 - \$29,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
716,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.699999988079071,0.0,0.0,0.0,"\$60,000 - \$69,999","\$20,000 - \$29,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
717,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.699999988079071,0.949999988079071,0.699999988079071,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
718,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.6000000238418579,0.7799999713897705,0.3000000119209289,0.3000000119209289,"\$60,000 - \$69,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
720,NO,NO,NO,BOTH,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$80,000 - \$89,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
725,YES SELF,"YES,SELF","YES,SELF",NO,YES SPOUSE,"YES,SPOUSE",NO,"YES, SPOUSE",YES SPOUSE,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,"YES,SPOUSE",NO,NO,NO,NO,NO,"YES, SELF",0.0,0.0,0.7799999713897705,0.0,"\$40,000 - \$49,999","\$20,000 - \$29,999","\$20,000 - \$29,999","\$20,000 - \$29,999"
726,BOTH,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,BOTH,"YES,SELF","YES,SELF","YES, SELF",NO,NO,NO,NO,0.699999988079071,0.7799999713897705,0.0,0.0,"\$60,000 - \$69,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
740,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
745,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,"YES,SELF","YES,SPOUSE",NO,YES SPOUSE,NO,"YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,0.0,0.3000000119209289,0.8500000238418579,0.8500000238418579,"\$90,000 - \$99,999","\$70,000 - \$79,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
748,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$20,000 - \$29,999","\$30,000 - \$39,999","\$25,000 - \$29,999","\$30,000 - \$39,999"
750,NO,NO,BOTH,BOTH,NO,NO,NO,BOTH,YES SELF,"YES,SELF","YES,SELF","YES, SELF",NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,0.8500000238418579,1.0,1.1100000143051147,0.8500000238418579,"\$60,000 - \$69,999","\$50,000 - \$59,999","\$30,000 - \$39,999","Under \$20,000"
751,NO,BOTH,NO,NO,NO,NO,NO,NO,BOTH,NO,"YES,SELF",NO,NO,BOTH,BOTH,NO,NO,NO,"YES,SELF",NO,0.7799999713897705,0.0,1.0,0.3000000119209289,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
760,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$40,000 - \$49,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
761,YES SELF,BOTH,"YES,SPOUSE",BOTH,NO,BOTH,"YES,SPOUSE",NO,NO,"YES,SELF",NO,"YES, SELF",NO,BOTH,NO,NO,YES SPOUSE,"YES,SPOUSE",NO,NO,0.8500000238418579,1.0800000429153442,0.7799999713897705,1.2000000476837158,"\$100,000 or More","\$30,000 - \$39,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
767,YES SELF,"YES,SELF","YES,SELF","YES, SELF",NO,NO,NO,NO,YES SELF,NO,NO,NO,YES SELF,"YES,SELF","YES,SELF","YES, SELF",NO,NO,NO,NO,0.0,0.0,0.6000000238418579,0.0,"Under \$20,000","Under \$20,000","Under \$20,000","Under \$20,000"
769,BOTH,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,BOTH,"YES,SPOUSE","YES,SELF",BOTH,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,0.0,0.4799999892711639,0.8999999761581421,0.0,"\$60,000 - \$69,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
771,NO,NO,NO,NO,YES SPOUSE,"YES,SELF",NO,NO,NO,"YES,SPOUSE",NO,NO,BOTH,NO,NO,"YES, SELF",NO,"YES,SPOUSE","YES,SPOUSE",NO,0.949999988079071,1.0399999618530271,0.0,0.8999999761581421,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$25,000 - \$29,999","Under \$20,000"
776,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,0.0,0.6000000238418579,0.699999988079071,0.4799999892711639,"\$90,000 - \$99,999","\$70,000 - \$79,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
777,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$30,000 - \$39,999","\$20,000 - \$29,999","Under \$20,000"
780,NO,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,BOTH,BOTH,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.3000000119209289,"\$70,000 - \$79,999","\$80,000 - \$89,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
784,BOTH,NO,NO,NO,YES SELF,NO,NO,NO,YES SELF,NO,NO,NO,YES SPOUSE,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$25,000 - \$29,999","Under \$20,000"
789,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,0.8999999761581421,0.3000000119209289,1.0,0.0,"\$70,000 - \$79,999","\$70,000 - \$79,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
790,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,,,,"YES, SELF",0.3000000119209289,0.699999988079071,0.949999988079071,0.0,"\$60,000 - \$69,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
